,x,y,z,pred_x,pred_y,pred_z
0,-339.188,78.708,-110.545,-255.64128,167.2998,-95.66176
1,-339.442,78.7668,-110.541,-253.39938,167.25514,-95.25044
2,-339.724,78.8321,-110.537,-254.47021,168.61653,-95.48312
3,-339.949,78.8843,-110.536,-255.04613,171.14398,-95.6622
4,-340.161,78.9333,-110.535,-258.3658,170.53789,-95.65898
5,-340.457,79.0019,-110.535,-258.06665,172.24242,-95.807755
6,-340.654,79.0476,-110.534,-261.79706,172.23856,-96.07031
7,-340.838,79.09,-110.534,-263.30243,172.47803,-96.22649
8,-341.134,79.1586,-110.533,-265.50912,171.30212,-96.32317
9,-341.359,79.2109,-110.533,-265.67798,172.00809,-96.29254
10,-341.571,79.2599,-110.533,-266.49753,173.9506,-96.52928
11,-341.881,79.3319,-110.532,-268.22122,175.33838,-96.61775
12,-342.093,79.381,-110.532,-266.7757,178.08302,-96.040726
13,-342.36,79.4432,-110.531,-264.88373,179.59343,-95.96263
14,-344.165,79.8621,-110.529,-277.96313,182.65944,-96.00978
15,-345.758,80.232,-110.528,-284.17557,178.75308,-95.6044
16,-347.323,80.5953,-110.527,-300.59702,169.07431,-95.94273
17,-349.819,81.1746,-110.526,-312.91104,160.0589,-98.456276
18,-350.453,81.3219,-110.525,-328.57156,164.46819,-100.95501
19,-352.018,81.685,-110.524,-338.15784,169.90637,-102.39768
20,-353.569,82.0442,-110.524,-346.14508,196.14061,-104.85023
21,-355.148,82.4099,-110.523,-361.75824,176.25565,-103.488815
22,-356.713,82.7729,-110.513,-369.5302,205.89972,-106.0767
23,-358.292,83.1395,-110.511,-377.55273,205.6788,-107.82611
24,-359.801,83.4897,-110.509,-384.15125,207.48772,-109.942215
25,-361.422,83.8661,-110.508,-390.5636,212.35675,-111.381546
26,-362.254,84.0592,-110.507,-403.1997,214.63872,-111.75163
27,-363.227,84.285,-110.507,-403.93347,215.6742,-111.89766
28,-363.396,84.3243,-110.507,-406.99237,225.68755,-113.124756
29,-363.565,84.3636,-110.507,-407.98737,227.75931,-113.38667
30,-363.805,84.4192,-110.507,-407.5805,229.76616,-113.99777
31,-364.017,84.4683,-110.507,-408.70053,230.35211,-114.42461
32,-364.27,84.5273,-110.506,-410.08624,231.69666,-115.31677
33,-364.482,84.5763,-110.506,-411.6255,232.4861,-115.61569
34,-366.132,84.9593,-110.505,-425.3451,240.40782,-118.98122
35,-366.653,85.0804,-110.505,-427.3609,239.11877,-119.569824
36,-366.724,85.0968,-110.505,-431.26782,238.40076,-120.16824
37,-366.921,85.1425,-110.505,-433.56738,236.31598,-120.20636
38,-368.331,85.4691,-110.504,-441.1137,237.76195,-122.30389
39,-369.769,85.8021,-110.496,-444.96066,240.82573,-122.41956
40,-371.334,86.165,-110.493,-454.34518,243.22394,-123.40528
41,-372.589,86.4563,-110.492,-466.3275,259.573,-126.426414
42,-372.857,86.5184,-110.491,-469.063,258.96048,-126.99405
43,-373.012,86.5543,-110.491,-470.39468,255.077,-127.34678
44,-373.688,86.7109,-110.49,-469.7846,257.2468,-128.06915
45,-373.871,86.7532,-110.49,-471.83142,248.46292,-128.64935
46,-374.025,86.7889,-110.49,-472.9757,247.97824,-129.12822
47,-374.25,86.8408,-110.49,-479.83392,260.32816,-131.4847
48,-374.501,86.8988,-110.49,-486.52637,268.8048,-133.81503
49,-374.71,86.9469,-110.49,-496.7069,274.40338,-135.15733
50,-374.972,87.0071,-110.494,-521.0053,291.2926,-142.76935
51,-375.215,87.0626,-110.509,-554.12195,281.11697,-149.77605
52,-376.509,87.5733,-110.961,-560.39496,316.8597,-162.22499
53,-376.654,87.8048,-111.234,-560.4341,316.9164,-162.23726
54,-376.675,87.9064,-111.36,-560.5096,316.83575,-162.24545
55,-376.676,88.0734,-111.558,-560.66345,316.78528,-162.27481
56,-376.674,88.0985,-111.585,-560.71436,316.79404,-162.2859
57,-376.655,88.2251,-111.714,-560.82355,316.73935,-162.30077
58,-376.629,88.3338,-111.812,-560.89526,316.67612,-162.31029
59,-376.59,88.4563,-111.907,-561.11554,316.58353,-162.34818
60,-376.552,88.5537,-111.971,-561.27844,316.42853,-162.36845
61,-376.501,88.6645,-112.032,-561.50476,316.29364,-162.39928
62,-376.443,88.7758,-112.081,-561.7373,316.14896,-162.43294
63,-376.377,88.8874,-112.118,-561.9674,315.9966,-162.46194
64,-376.313,88.9861,-112.141,-562.17505,315.90286,-162.49107
65,-376.215,89.1247,-112.16,-562.3674,315.76678,-162.51274
66,-376.116,89.2504,-112.165,-562.4912,315.6544,-162.52658
67,-376.055,89.3233,-112.162,-562.6012,315.59863,-162.5431
68,-375.936,89.456,-112.151,-562.7524,315.49472,-162.55984
69,-375.827,89.569,-112.133,-562.8953,315.564,-162.62598
70,-375.74,89.6554,-112.116,-564.21875,320.51297,-161.71906
71,-375.606,89.7819,-112.085,-563.3629,323.09103,-162.00653
72,-375.487,89.8885,-112.055,-565.64404,323.1808,-163.15024
73,-375.339,90.0152,-112.015,-563.9821,325.74045,-162.66484
74,-375.217,90.1154,-111.982,-564.8328,298.63153,-158.27794
75,-375.065,90.2356,-111.938,-560.06635,288.35938,-153.65736
76,-374.908,90.356,-111.893,-556.1838,278.2601,-150.99228
77,-374.745,90.4766,-111.846,-555.6383,292.8754,-151.95164
78,-374.596,90.5839,-111.803,-547.4184,286.19467,-149.89864
79,-374.396,90.7251,-111.746,-538.56165,305.15353,-148.72563
80,-374.288,90.7991,-111.716,-541.1098,299.42255,-149.32925
81,-374.109,90.9205,-111.666,-535.46484,287.17648,-146.3438
82,-373.937,91.0355,-111.619,-527.59656,295.74506,-144.24225
83,-373.751,91.1576,-111.57,-521.36804,297.1157,-142.53348
84,-373.583,91.2665,-111.527,-516.2422,301.81238,-141.01587
85,-373.424,91.369,-111.486,-507.28052,308.20493,-138.62973
86,-373.208,91.5062,-111.433,-505.873,296.6849,-137.53581
87,-373.001,91.6373,-111.384,-504.78583,281.9408,-136.69182
88,-372.846,91.7344,-111.348,-499.84988,269.61307,-135.04173
89,-372.635,91.8669,-111.301,-492.1214,268.8549,-133.99263
90,-372.433,91.9932,-111.257,-487.52563,264.5653,-133.28104
91,-372.286,92.0851,-111.226,-488.0556,262.37027,-133.5507
92,-372.058,92.2274,-111.18,-489.97653,245.63905,-132.9694
93,-371.875,92.3422,-111.145,-487.9261,243.9376,-131.61906
94,-371.668,92.4725,-111.106,-482.65488,244.46501,-130.25656
95,-371.495,92.582,-111.075,-480.2218,245.44025,-129.84767
96,-371.299,92.7072,-111.04,-477.20612,252.72578,-129.31035
