,x,y,sample,timepoint
0,-101.624,37.3353,true,0
1,-101.804,37.8694,true,1
2,-101.993,38.4309,true,2
3,-102.177,38.9787,true,3
4,-102.361,39.5265,true,4
5,-102.546,40.0743,true,5
6,-102.735,40.6358,true,6
7,-102.924,41.1972,true,7
8,-103.109,41.7449,true,8
9,-103.294,42.2925,true,9
10,-103.479,42.8401,true,10
11,-103.668,43.4013,true,11
12,-103.863,43.9762,true,12
13,-104.053,44.5373,true,13
14,-104.252,45.1258,true,14
15,-104.442,45.6868,true,15
16,-104.637,46.2615,true,16
17,-104.86,46.9183,true,17
18,-105.102,47.6298,true,18
19,-105.306,48.2317,true,19
20,-105.51,48.8337,true,20
21,-105.715,49.4357,true,21
22,-105.919,50.0378,true,22
23,-106.124,50.6399,true,23
24,-106.333,51.2556,true,24
25,-106.541,51.8714,true,25
26,-106.759,52.5145,true,26
27,-106.954,53.0892,true,27
28,-107.172,53.7323,true,28
29,-107.386,54.3619,true,29
30,-107.604,55.0052,true,30
31,-107.822,55.6485,true,31
32,-108.039,56.2918,true,32
33,-108.266,56.9625,true,33
34,-108.498,57.6469,true,34
35,-108.725,58.3175,true,35
36,-108.966,59.0293,true,36
37,-109.192,59.6999,true,37
38,-109.424,60.3843,true,38
39,-109.656,61.0686,true,39
40,-109.901,61.794,true,40
41,-110.137,62.4918,true,41
42,-110.383,63.217,true,42
43,-110.619,63.915,true,43
44,-110.865,64.6404,true,44
45,-111.115,65.3795,true,45
46,-111.361,66.1049,true,46
47,-111.612,66.844,true,47
48,-111.867,67.5968,true,48
49,-112.122,68.3496,true,49
50,-112.386,69.1298,true,50
51,-112.642,69.8826,true,51
52,-112.911,70.6764,true,52
53,-113.18,71.4703,true,53
54,-113.457,72.2915,true,54
55,-113.745,73.1401,true,55
56,-114.013,73.934,true,56
57,-114.3,74.7826,true,57
58,-114.513,75.412,true,58
59,-114.81,76.288,true,59
60,-115.116,77.1913,true,60
61,-115.431,78.1221,true,61
62,-115.756,79.0802,true,62
63,-116.081,80.0383,true,63
64,-116.41,81.01,true,64
65,-116.744,81.9955,true,65
66,-117.082,82.9947,true,66
67,-117.421,83.9938,true,67
68,-117.773,85.0341,true,68
69,-118.13,86.088,true,69
70,-118.491,87.1556,true,70
71,-118.839,88.1821,true,71
72,-119.177,89.1811,true,72
73,-119.496,90.1255,true,73
74,-119.835,91.1246,true,74
75,-120.132,92.0006,true,75
76,-120.484,93.0408,true,76
77,-120.832,94.0674,true,77
78,-121.18,95.0939,true,78
79,-121.547,96.1752,true,79
80,-121.959,97.3933,true,80
81,-122.367,98.5978,true,81
82,-122.779,99.816,true,82
83,-123.196,101.048,true,83
84,-123.618,102.293,true,84
85,-124.034,103.525,true,85
86,-124.461,104.784,true,86
87,-124.893,106.057,true,87
88,-125.324,107.33,true,88
89,-125.746,108.576,true,89
90,-126.187,109.876,true,90
91,-126.623,111.162,true,91
92,-127.063,112.463,true,92
93,-127.545,113.886,true,93
94,-128.124,115.597,true,94
95,-128.504,116.719,true,95
96,-128.954,118.047,true,96
97,-129.427,119.443,true,97
98,-129.905,120.853,true,98
99,-130.378,122.249,true,99
100,-130.879,123.727,true,100
101,-131.5,125.561,true,101
102,-131.995,127.026,true,102
103,-132.481,128.463,true,103
104,-132.977,129.927,true,104
105,-133.473,131.392,true,105
106,-133.988,132.911,true,106
107,-134.475,134.348,true,107
108,-134.967,135.799,true,108
109,-135.463,137.264,true,109
110,-135.969,138.755,true,110
111,-136.456,140.193,true,111
112,-136.965,141.698,true,112
113,-137.474,143.204,true,113
114,-137.997,144.75,true,114
115,-138.516,146.283,true,115
116,-139.04,147.83,true,116
117,-139.574,149.404,true,117
118,-140.117,151.005,true,118
119,-140.641,152.552,true,119
120,-141.188,154.167,true,120
121,-141.735,155.782,true,121
122,-142.278,157.384,true,122
123,-142.807,158.944,true,123
124,-143.35,160.545,true,124
125,-143.919,162.229,true,125
126,-144.428,163.734,true,126
127,-144.97,165.336,true,127
128,-145.522,166.965,true,128
129,-146.083,168.621,true,129
130,-146.649,170.29,true,130
131,-147.219,171.974,true,131
132,-147.799,173.685,true,132
133,-148.374,175.382,true,133
134,-148.958,177.107,true,134
135,-149.536,178.818,true,135
136,-150.125,180.556,true,136
137,-150.714,182.294,true,137
138,-151.307,184.046,true,138
139,-151.892,185.771,true,139
140,-152.476,187.495,true,140
141,-153.056,189.206,true,141
142,-153.645,190.944,true,142
143,-154.242,192.71,true,143
144,-154.806,194.38,true,144
145,-155.386,196.091,true,145
146,-155.984,197.856,true,146
147,-156.564,199.567,true,147
148,-157.149,201.292,true,148
149,-157.729,203.003,true,149
150,-158.318,204.741,true,150
151,-158.87,206.37,true,151
152,-159.429,208.026,true,152
153,-159.993,209.696,true,153
154,-160.559,211.366,true,154
155,-161.13,213.049,true,155
156,-161.724,214.801,true,156
157,-162.294,216.485,true,157
158,-162.865,218.168,true,158
159,-163.454,219.906,true,159
160,-164.043,221.645,true,160
161,-164.636,223.397,true,161
162,-165.218,225.121,true,162
163,-165.825,226.914,true,163
164,-166.54,229.022,true,164
165,-167.105,230.692,true,165
166,-167.667,232.348,true,166
167,-168.177,233.854,true,167
168,-168.748,235.537,true,168
169,-169.369,237.371,true,169
170,-169.962,239.123,true,170
171,-170.577,240.943,true,171
172,-171.189,242.75,true,172
173,-171.783,244.502,true,173
174,-172.409,246.35,true,174
175,-173.04,248.211,true,175
176,-173.676,250.086,true,176
177,-174.306,251.948,true,177
178,-174.944,253.837,true,178
179,-175.588,255.739,true,179
180,-176.229,257.626,true,180
181,-176.878,259.554,true,181
182,-177.523,261.443,true,182
183,-178.161,263.334,true,183
184,-178.8,265.222,true,184
185,-179.445,267.122,true,185
186,-180.066,268.954,true,186
187,-180.716,270.869,true,187
188,-181.317,272.65,true,188
189,-181.941,274.5,true,189
190,-182.563,276.333,true,190
191,-183.184,278.165,true,191
192,-183.797,279.97,true,192
193,-184.409,281.775,true,193
194,-184.998,283.512,true,194
195,-185.585,285.252,true,195
196,-186.163,286.965,true,196
197,-186.738,288.662,true,197
198,-187.29,290.289,true,198
199,-187.828,291.875,true,199
200,-188.366,293.46,true,200
201,-188.9,295.033,true,201
202,-189.432,296.605,true,202
203,-189.964,298.181,true,203
204,-190.477,299.702,true,204
205,-191.019,301.304,true,205
206,-191.66,303.191,true,206
207,-192.147,304.627,true,207
208,-192.643,306.09,true,208
209,-193.149,307.58,true,209
210,-193.663,309.097,true,210
211,-194.168,310.589,true,211
212,-194.667,312.069,true,212
213,-195.157,313.521,true,213
214,-195.635,314.932,true,214
215,-196.126,316.381,true,215
216,-196.586,317.734,true,216
217,-197.073,319.17,true,217
218,-197.56,320.605,true,218
219,-198.042,322.027,true,219
220,-198.52,323.436,true,220
221,-198.996,324.846,true,221
222,-199.468,326.244,true,222
223,-199.953,327.683,true,223
224,-200.408,329.024,true,224
225,-200.872,330.391,true,225
226,-201.317,331.703,true,226
227,-201.776,333.057,true,227
228,-202.235,334.41,true,228
229,-202.704,335.791,true,229
230,-203.154,337.117,true,230
231,-203.602,338.446,true,231
232,-204.032,339.72,true,232
233,-204.494,341.09,true,233
234,-204.935,342.391,true,234
235,-205.385,343.717,true,235
236,-205.826,345.016,true,236
237,-206.276,346.342,true,237
238,-206.707,347.613,true,238
239,-207.143,348.899,true,239
240,-207.57,350.156,true,240
241,-207.995,351.415,true,241
242,-208.43,352.703,true,242
243,-208.818,353.854,true,243
244,-209.239,355.101,true,244
245,-209.657,356.332,true,245
246,-210.06,357.522,true,246
247,-210.464,358.711,true,247
248,-210.868,359.901,true,248
249,-211.267,361.076,true,249
250,-211.647,362.198,true,250
251,-212.032,363.332,true,251
252,-212.412,364.453,true,252
253,-212.796,365.59,true,253
254,-213.166,366.686,true,254
255,-213.531,367.768,true,255
256,-213.892,368.837,true,256
257,-214.249,369.891,true,257
258,-214.583,370.875,true,258
259,-214.926,371.887,true,259
260,-215.26,372.871,true,260
261,-215.65,374.019,true,261
262,-215.958,374.924,true,262
263,-216.184,375.576,true,263
264,-216.381,376.025,true,264
265,-216.578,376.317,true,265
266,-216.917,376.61,true,266
267,-217.342,376.809,true,267
268,-217.788,376.954,true,268
269,-218.24,377.051,true,269
270,-218.748,377.109,true,270
271,-219.301,377.123,true,271
272,-219.875,377.092,true,272
273,-220.504,377.016,true,273
274,-221.061,376.921,true,274
275,-221.717,376.782,true,275
276,-222.436,376.606,true,276
277,-223.154,376.414,true,277
278,-223.881,376.212,true,278
279,-224.823,375.947,true,279
280,-225.766,375.691,true,280
281,-226.802,375.431,true,281
282,-227.865,375.202,true,282
283,-228.966,375.011,true,283
284,-230.076,374.875,true,284
285,-231.222,374.791,true,285
286,-232.343,374.76,true,286
287,-233.481,374.771,true,287
288,-234.577,374.812,true,288
289,-235.675,374.872,true,289
290,-236.744,374.941,true,290
291,-237.816,375.013,true,291
292,-238.859,375.079,true,292
293,-239.888,375.136,true,293
294,-240.889,375.18,true,294
295,-241.905,375.214,true,295
296,-242.922,375.235,true,296
297,-243.895,375.244,true,297
298,-244.985,375.242,true,298
299,-246.278,375.228,true,299
300,-247.338,375.21,true,300
301,-248.398,375.187,true,301
302,-249.473,375.163,true,302
303,-250.563,375.139,true,303
304,-251.667,375.118,true,304
305,-252.756,375.101,true,305
306,-253.831,375.088,true,306
307,-254.935,375.078,true,307
308,-256.039,375.073,true,308
309,-257.158,375.072,true,309
310,-258.262,375.073,true,310
311,-259.366,375.076,true,311
312,-260.455,375.081,true,312
313,-261.545,375.085,true,313
314,-262.62,375.09,true,314
315,-263.695,375.093,true,315
316,-264.784,375.095,true,316
317,-265.903,375.095,true,317
318,-266.803,375.095,true,318
319,-267.864,375.094,true,319
320,-268.924,375.091,true,320
321,-270.014,375.088,true,321
322,-271.03,375.084,true,322
323,-272.076,375.08,true,323
324,-273.108,375.075,true,324
325,-274.154,375.071,true,325
326,-275.156,375.067,true,326
327,-276.144,375.064,true,327
328,-277.146,375.062,true,328
329,-278.163,375.06,true,329
